Bo'lim,Yaponcha,O'qilishi (kana),Romaji,O'zbekcha tarjima,English (manba),Misol gap
N2 語彙 (文字・語彙・文法),安全,あんぜん,anzen',"xavfsizlik, xavfsiz",,安全を未然に防ぐ対策を立てました。 (xavfsizlikning oldini olish choralarini tuzdik.)
N2 語彙 (文字・語彙・文法),宗教,しゅうきょう,shuukyou,din,,宗教についての詳しい説明を聞きました。 (din haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),実例,じつれい,jitsurei,amaliy misol,,実例についての詳しい説明を聞きました。 (amaliy misol haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),実習,じっしゅう,jisshuu,amaliy mashg'ulot,,実習についての詳しい説明を聞きました。 (amaliy mashg'ulot haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),家屋,かおく,kaoku,"uy-joy, bino",,その家屋の環境はとても快適です。 (Ushbu uy-joyning muhiti juda qulay.)
N2 語彙 (文字・語彙・文法),家庭,かてい,katei,"oila, xonadon",,家庭についての詳しい説明を聞きました。 (oila haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),宿泊,しゅくはく,shukuhaku,"tunash, turar joy",,その宿泊の環境はとても快適です。 (Ushbu tunashning muhiti juda qulay.)
N2 語彙 (文字・語彙・文法),寝台,しんだい,shindai,"karavot, krovat",,寝台についての詳しい説明を聞きました。 (karavot haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),対策,たいさく,taisaku,chora-tadbir,,対策についての詳しい説明を聞きました。 (chora-tadbir haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),就職,しゅうしょく,shuushoku,ishga joylashish,,その就職の環境はとても快適です。 (Ushbu ishga joylashishning muhiti juda qulay.)
N2 語彙 (文字・語彙・文法),工場,こうじょう,koujou,"zavod, fabrika",,工場についての詳しい説明を聞きました。 (zavod haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),工夫,くふう,kufuu,"puxta o'ylash, topqirlik",,工夫についての詳しい説明を聞きました。 (puxta o'ylash haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),差別,さべつ,sabetsu,"kamsitish, farqlash",,差別についての詳しい説明を聞きました。 (kamsitish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),市場,しじょう,shijou,bozor,,市場についての詳しい説明を聞きました。 (bozor haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),冒険,ぼうけん,bouken',"sarguzasht, tavakkal ish",,冒険についての詳しい説明を聞きました。 (sarguzasht haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),発表,はっぴょう,happyou,"e'lon qilish, taqdim etish",,計画通りに発表を進めていきます。 (Rejaga muvofiq e'lon qilishni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),出発,しゅっぱつ,shuppatsu,jo'nab ketish,,計画通りに出発を進めていきます。 (Rejaga muvofiq jo'nab ketishni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),出動,しゅつどう,shutsudou,harakatga chiqish,,出動についての詳しい説明を聞きました。 (harakatga chiqish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),出会い,であい,deai,"uchrashuv, tanishuv",,出会いについての詳しい説明を聞きました。 (uchrashuv haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),出席率,しゅっせきりつ,shussekiritsu,qatnashish foizi,,出席率についての詳しい説明を聞きました。 (qatnashish foizi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),労働,ろうどう,roudou,"mehnat, ish",,労働についての詳しい説明を聞きました。 (mehnat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),区別,くべつ,kubetsu,"farqlash, ajratish",,区別についての詳しい説明を聞きました。 (farqlash haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),単純,たんじゅん,tanjun',"oddiy, sodda",,単純についての詳しい説明を聞きました。 (oddiy haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),爆発,ばくはつ,bakuhatsu,portlash,,爆発についての詳しい説明を聞きました。 (portlash haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),参加,さんか,sanka,qatnashish,,参加についての詳しい説明を聞きました。 (qatnashish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),可決,かけつ,kaketsu,qabul qilish (qaror),,計画通りに可決を進めていきます。 (Rejaga muvofiq qabul qilishni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),売り場,うりば,uriba,"savdo bo'limi, do'kon bo'limi",,売り場についての詳しい説明を聞きました。 (savdo bo'limi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),売買,ばいばい,baibai,oldi-sotdi,,売買についての詳しい説明を聞きました。 (oldi-sotdi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),夜半,やはん,yahan',yarim kecha,,夜半についての詳しい説明を聞きました。 (yarim kecha haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),夜行,やこう,yakou,tungi qatnov,,夜行についての詳しい説明を聞きました。 (tungi qatnov haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),大会,たいかい,taikai,"katta musobaqa, qurultoy",,大会についての詳しい説明を聞きました。 (katta musobaqa haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),大学,だいがく,daigaku,universitet,,大学についての詳しい説明を聞きました。 (universitet haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),大盛,おおもり,oomori,katta porsiya,,大盛についての詳しい説明を聞きました。 (katta porsiya haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),天気予報,てんきよほう,tenkiyohou,ob-havo prognozi,,天気予報についての詳しい説明を聞きました。 (ob-havo prognozi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),失意,しつい,shitsui,"umidsizlik, tushkunlik",,失意についての詳しい説明を聞きました。 (umidsizlik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),失敗,しっぱい,shippai,"muvaffaqiyatsizlik, xato",,失敗を未然に防ぐ対策を立てました。 (muvaffaqiyatsizlikning oldini olish choralarini tuzdik.)
N2 語彙 (文字・語彙・文法),失業,しつぎょう,shitsugyou,ishsizlik,,失業についての詳しい説明を聞きました。 (ishsizlik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),始末,しまつ,shimatsu,"yakun, oqibat; tozalash",,始末についての詳しい説明を聞きました。 (yakun haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),売店,ばいてん,baiten',"do'koncha, kiosk",,売店についての詳しい説明を聞きました。 (do'koncha haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),布地,ぬのじ,nunoji,matoning sifati/turi,,布地についての詳しい説明を聞きました。 (matoning sifati/turi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),希望,きぼう,kibou,"umid, istak",,希望についての詳しい説明を聞きました。 (umid haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),平均,へいきん,heikin',o'rtacha,,平均についての詳しい説明を聞きました。 (o'rtacha haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),平日,へいじつ,heijitsu,"ish kuni, oddiy kun",,平日についての詳しい説明を聞きました。 (ish kuni haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),平穏,へいおん,heion',"tinch, osoyishta",,平穏についての詳しい説明を聞きました。 (tinch haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),平等,びょうどう,byoudou,tenglik,,平等についての詳しい説明を聞きました。 (tenglik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),平野,へいや,heiya,"tekislik, dala",,平野についての詳しい説明を聞きました。 (tekislik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),幸福,こうふく,koufuku,"baxt, saodat",,幸福についての詳しい説明を聞きました。 (baxt haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),延長,えんちょう,enchou,"uzaytirish, cho'zish",,延長についての詳しい説明を聞きました。 (uzaytirish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),建造,けんぞう,kenzou,qurish (kema/bino),,その建造の環境はとても快適です。 (Ushbu qurishning muhiti juda qulay.)
N2 語彙 (文字・語彙・文法),引き出す,ひきだす,hikidasu,tortib chiqarmoq; chiqarib olmoq,,計画通りに引き出すを進めていきます。 (Rejaga muvofiq tortib chiqarmoqni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),引き受ける,ひきうける,hikiukeru,"zimmaga olmoq, qabul qilmoq",,計画通りに引き受けるを進めていきます。 (Rejaga muvofiq zimmaga olmoqni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),強力,きょうりょく,kyouryoku,"kuchli, qudratli",,強力についての詳しい説明を聞きました。 (kuchli haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),強化,きょうか,kyouka,kuchaytirish,,強化についての詳しい説明を聞きました。 (kuchaytirish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),当然,とうぜん,touzen',"tabiiy, o'z-o'zidan",,当然についての詳しい説明を聞きました。 (tabiiy haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),役人,やくにん,yakunin',"amaldor, davlat xizmatchisi",,役人についての詳しい説明を聞きました。 (amaldor haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),役割,やくわり,yakuwari,"rol, vazifa",,役割についての詳しい説明を聞きました。 (rol haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),得意,とくい,tokui,biror ishni yaxshi qiladigan; o'ziga xos,,技術の得意によって生活が便利になりました。 (Texnologiyaning biror ishni yaxshi qiladigani tufayli hayot qulaylashdi.)
N2 語彙 (文字・語彙・文法),快晴,かいせい,kaisei,"ochiq, tiniq havo",,快晴についての詳しい説明を聞きました。 (ochiq haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),性質,せいしつ,seishitsu,"xususiyat, tabiat",,性質についての詳しい説明を聞きました。 (xususiyat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),意外,いがい,igai,"kutilmagan, ajablanarli",,意外についての詳しい説明を聞きました。 (kutilmagan haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),意識,いしき,ishiki,"ong, ongli fikr; xabardorlik",,意識についての詳しい説明を聞きました。 (ong haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),感情,かんじょう,kanjou,"hissiyot, tuyg'u",,感情についての詳しい説明を聞きました。 (hissiyot haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),態度,たいど,taido,"munosabat, xatti-harakat",,態度についての詳しい説明を聞きました。 (munosabat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),憲法,けんぽう,kenpou,konstitutsiya,,憲法についての詳しい説明を聞きました。 (konstitutsiya haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),成立,せいりつ,seiritsu,"tashkil topish, qabul qilinish",,成立についての詳しい説明を聞きました。 (tashkil topish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),所在,しょざい,shozai,"joylashgan joy, manzil",,その所在の環境はとても快適です。 (Ushbu joylashgan joyning muhiti juda qulay.)
N2 語彙 (文字・語彙・文法),手段,しゅだん,shudan',"chora, vosita, usul",,手段についての詳しい説明を聞きました。 (chora haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),批評,ひひょう,hihyou,"tanqid, tahliliy baho",,批評についての詳しい説明を聞きました。 (tanqid haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),承知,しょうち,shouchi,"bilish, xabardor bo'lish; rozilik",,承知についての詳しい説明を聞きました。 (bilish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),技術,ぎじゅつ,gijutsu,"texnika, texnologiya",,技術についての詳しい説明を聞きました。 (texnika haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),技術者,ぎじゅつしゃ,gijutsusha,"muhandis, texnik mutaxassis",,技術者についての詳しい説明を聞きました。 (muhandis haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),投書,とうしょ,tousho,xat/murojaat yozib yuborish,,投書についての詳しい説明を聞きました。 (xat/murojaat yozib yuborish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),押す,おす,osu,"bosmoq, itarmoq",,計画通りに押すを進めていきます。 (Rejaga muvofiq bosmoqni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),持参,じさん,jisan',o'zi bilan olib kelish,,持参についての詳しい説明を聞きました。 (o'zi bilan olib kelish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),持ち直す,もちなおす,mochinaosu,"tiklanmoq, yaxshilanmoq",,技術の持ち直すによって生活が便利になりました。 (Texnologiyaning tiklanmoqi tufayli hayot qulaylashdi.)
N2 語彙 (文字・語彙・文法),指定,してい,shitei,"belgilash, tayinlash",,指定についての詳しい説明を聞きました。 (belgilash haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),採点,さいてん,saiten',"ball qo'yish, baholash",,採点についての詳しい説明を聞きました。 (ball qo'yish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),接続,せつぞく,setsuzoku,"ulanish, biriktirish",,接続についての詳しい説明を聞きました。 (ulanish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),接近,せっきん,sekkin',yaqinlashish,,接近についての詳しい説明を聞きました。 (yaqinlashish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),換気,かんき,kanki,"havoni almashtirish, ventilyatsiya",,換気についての詳しい説明を聞きました。 (havoni almashtirish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),損得,そんとく,sontoku,zarar va foyda,,損得を未然に防ぐ対策を立てました。 (zarar va foydaning oldini olish choralarini tuzdik.)
N2 語彙 (文字・語彙・文法),操作,そうさ,sousa,"boshqarish, ishlatish",,操作についての詳しい説明を聞きました。 (boshqarish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),操縦,そうじゅう,soujuu,boshqarish (transport),,操縦についての詳しい説明を聞きました。 (boshqarish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),支配,しはい,shihai,"hukmronlik, boshqaruv",,支配についての詳しい説明を聞きました。 (hukmronlik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),収益,しゅうえき,shuueki,"daromad, foyda",,技術の収益によって生活が便利になりました。 (Texnologiyaning daromadi tufayli hayot qulaylashdi.)
N2 語彙 (文字・語彙・文法),改札,かいさつ,kaisatsu,chiptani tekshirish (bekatda),,改札についての詳しい説明を聞きました。 (chiptani tekshirish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),改造,かいぞう,kaizou,"qayta qurish, o'zgartirish",,改造についての詳しい説明を聞きました。 (qayta qurish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),政党,せいとう,seitou,siyosiy partiya,,政党についての詳しい説明を聞きました。 (siyosiy partiya haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),政治,せいじ,seiji,siyosat,,政治についての詳しい説明を聞きました。 (siyosat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),効果,こうか,kouka,"samara, ta'sir",,効果についての詳しい説明を聞きました。 (samara haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),救助,きゅうじょ,kyuujo,"qutqarish, yordam",,救助についての詳しい説明を聞きました。 (qutqarish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),教授,きょうじゅ,kyouju,professor; o'qitish,,教授についての詳しい説明を聞きました。 (professor haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),数冊,すうさつ,suusatsu,bir necha kitob/dona,,数冊についての詳しい説明を聞きました。 (bir necha kitob/dona haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),数字,すうじ,suuji,raqam,,数字についての詳しい説明を聞きました。 (raqam haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),文明,ぶんめい,bunmei,"tsivilizatsiya, madaniyat",,文明についての詳しい説明を聞きました。 (tsivilizatsiya haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),文法,ぶんぽう,bunpou,grammatika,,文法についての詳しい説明を聞きました。 (grammatika haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),文芸,ぶんげい,bungei,adabiyot va san'at,,文芸についての詳しい説明を聞きました。 (adabiyot va san'at haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),方針,ほうしん,houshin',"yo'nalish, siyosat kursi",,方針についての詳しい説明を聞きました。 (yo'nalish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),日本語,にほんご,nihongo,yapon tili,,日本語についての詳しい説明を聞きました。 (yapon tili haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),日課,にっか,nikka,kundalik mashg'ulot/odat,,日課についての詳しい説明を聞きました。 (kundalik mashg'ulot/odat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),映画,えいが,eiga,"kino, film",,映画についての詳しい説明を聞きました。 (kino haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),暴発,ぼうはつ,bouhatsu,o'zboshimchalik bilan otilish/portlash,,暴発についての詳しい説明を聞きました。 (o'zboshimchalik bilan otilish/portlash haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),書物,しょもつ,shomotsu,"kitob, asar",,書物についての詳しい説明を聞きました。 (kitob haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),書類,しょるい,shorui,hujjatlar,,書類についての詳しい説明を聞きました。 (hujjatlar haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),最初,さいしょ,saisho,"birinchi, eng avval",,最初についての詳しい説明を聞きました。 (birinchi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),最後,さいご,saigo,"oxirgi, eng so'nggi",,最後についての詳しい説明を聞きました。 (oxirgi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),本部,ほんぶ,honbu,"bosh idora, markaz",,本部についての詳しい説明を聞きました。 (bosh idora haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),条件,じょうけん,jouken',"shart, sharoit",,条件についての詳しい説明を聞きました。 (shart haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),枝木,えだき,edaki,"shox-shabba, novda",,枝木についての詳しい説明を聞きました。 (shox-shabba haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),案内,あんない,annai,"yo'l ko'rsatish, tanishtirish",,案内についての詳しい説明を聞きました。 (yo'l ko'rsatish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),森林,しんりん,shinrin',o'rmon,,森林についての詳しい説明を聞きました。 (o'rmon haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),植木,うえき,ueki,"manzarali o'simlik, ko'chat",,植木についての詳しい説明を聞きました。 (manzarali o'simlik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),植物,しょくぶつ,shokubutsu,o'simlik,,植物についての詳しい説明を聞きました。 (o'simlik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),楽器,がっき,gakki,musiqa asbobi,,楽器についての詳しい説明を聞きました。 (musiqa asbobi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),構成,こうせい,kousei,"tuzilish, tarkib",,構成についての詳しい説明を聞きました。 (tuzilish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),機能,きのう,kinou,"funksiya, vazifa",,機能についての詳しい説明を聞きました。 (funksiya haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),正確,せいかく,seikaku,"aniq, to'g'ri",,正確についての詳しい説明を聞きました。 (aniq haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),正面,しょうめん,shoumen',"old tomon, yuz",,正面についての詳しい説明を聞きました。 (old tomon haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),歩道,ほどう,hodou,piyodalar yo'li,,歩道についての詳しい説明を聞きました。 (piyodalar yo'li haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),死人,しにん,shinin',"o'lik, marhum",,死人についての詳しい説明を聞きました。 (o'lik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),死体,したい,shitai,jasad,,死体についての詳しい説明を聞きました。 (jasad haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),殺人,さつじん,satsujin',qotillik,,殺人についての詳しい説明を聞きました。 (qotillik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),毎日,まいにち,mainichi,har kuni,,毎日についての詳しい説明を聞きました。 (har kuni haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),比較,ひかく,hikaku,"qiyoslash, solishtirish",,比較についての詳しい説明を聞きました。 (qiyoslash haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),民主,みんしゅ,minshu,demokratik,,民主についての詳しい説明を聞きました。 (demokratik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),気温,きおん,kion',havo harorati,,気温についての詳しい説明を聞きました。 (havo harorati haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),気候,きこう,kikou,iqlim,,気候についての詳しい説明を聞きました。 (iqlim haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),水分,すいぶん,suibun',"namlik, suv miqdori",,水分についての詳しい説明を聞きました。 (namlik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),水準,すいじゅん,suijun',"daraja, saviya",,水準についての詳しい説明を聞きました。 (daraja haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),永久,えいきゅう,eikyuu,"abadiy, doimiy",,永久についての詳しい説明を聞きました。 (abadiy haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),決定,けってい,kettei,"qaror, hal qilish",,計画通りに決定を進めていきます。 (Rejaga muvofiq qarorni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),沈没,ちんぼつ,chinbotsu,cho'kish (kema),,沈没についての詳しい説明を聞きました。 (cho'kish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),法定,ほうてい,houtei,qonuniy belgilangan,,社会の法定をしっかりと守ります。 (Jamiyatning qonuniy belgilanganiga qat'iy amal qilamiz.)
N2 語彙 (文字・語彙・文法),注目,ちゅうもく,chuumoku,"diqqat, e'tibor",,注目についての詳しい説明を聞きました。 (diqqat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),治療,ちりょう,chiryou,davolash,,治療についての詳しい説明を聞きました。 (davolash haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),深刻,しんこく,shinkoku,"jiddiy, og'ir",,深刻についての詳しい説明を聞きました。 (jiddiy haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),清潔,せいけつ,seiketsu,"toza, pokiza",,清潔についての詳しい説明を聞きました。 (toza haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),演説,えんぜつ,enzetsu,"nutq, ma'ruza",,演説についての詳しい説明を聞きました。 (nutq haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),火災,かさい,kasai,yong'in (falokat),,火災についての詳しい説明を聞きました。 (yong'in haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),無料,むりょう,muryou,bepul,,無料についての詳しい説明を聞きました。 (bepul haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),無駄,むだ,muda,"befoyda, zoye",,技術の無駄によって生活が便利になりました。 (Texnologiyaning befoydai tufayli hayot qulaylashdi.)
N2 語彙 (文字・語彙・文法),熱心,ねっしん,nesshin',"g'ayratli, astoydil",,熱心についての詳しい説明を聞きました。 (g'ayratli haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),犯人,はんにん,hannin',"jinoyatchi, ayblanuvchi",,犯人についての詳しい説明を聞きました。 (jinoyatchi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),犯罪,はんざい,hanzai,jinoyat,,犯罪についての詳しい説明を聞きました。 (jinoyat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),現金,げんきん,genkin',naqd pul,,現金についての詳しい説明を聞きました。 (naqd pul haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),現象,げんしょう,genshou,"hodisa, fenomen",,現象についての詳しい説明を聞きました。 (hodisa haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),理由,りゆう,riyuu,"sabab, vaj",,理由についての詳しい説明を聞きました。 (sabab haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),生活費,せいかつひ,seikatsuhi,turmush xarajati,,生活費についての詳しい説明を聞きました。 (turmush xarajati haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),生じる,しょうじる,shoujiru,yuzaga kelmoq,,計画通りに生じるを進めていきます。 (Rejaga muvofiq yuzaga kelmoqni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),生徒,せいと,seito,o'quvchi,,生徒についての詳しい説明を聞きました。 (o'quvchi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),田舎,いなか,inaka,"qishloq, chekka joy",,その田舎の環境はとても快適です。 (Ushbu qishloqning muhiti juda qulay.)
N2 語彙 (文字・語彙・文法),目的地,もくてきち,mokutekichi,boriladigan manzil,,目的地についての詳しい説明を聞きました。 (boriladigan manzil haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),相手,あいて,aite,"suhbatdosh, hamkor, raqib",,相手についての詳しい説明を聞きました。 (suhbatdosh haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),相互,そうご,sougo,o'zaro,,相互についての詳しい説明を聞きました。 (o'zaro haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),研究者,けんきゅうしゃ,kenkyuusha,tadqiqotchi,,研究者についての詳しい説明を聞きました。 (tadqiqotchi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),矛盾,むじゅん,mujun',"ziddiyat, qarama-qarshilik",,矛盾についての詳しい説明を聞きました。 (ziddiyat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),石炭,せきたん,sekitan',ko'mir,,石炭についての詳しい説明を聞きました。 (ko'mir haqida batafsil tushuntirish eshitdik.)
